dataset,image,inference_time_s,plant_pixels,soil_pixels,plant_depth_center,iou,f1,precision,recall,accuracy
sample_data,1_1751931514649_46_308401000_-63_280656636_jpg.rf.08455b762aae4c7ba51a091a27cfb8d3.jpg,8.677219,447198,1136930,74.656914,0.5867548525755732,0.7395658476093888,0.6233077965464823,0.9091359780300485,0.8760737768665103
sample_data,1_1751931515129_46_308400245_-63_280661176_jpg.rf.99e47478cf943808fa99f6957dcce0f7.jpg,7.76054,813515,770613,128.873322,0.9925399605653803,0.9962560101453624,0.9974702371806174,0.9950447456646001,0.9961499323286944
sample_data,1_1751931515609_46_308399393_-63_280666348_jpg.rf.14d3932c16bc74d503d83f929a18944a.jpg,10.949751,844510,739618,129.421967,0.9029510258078219,0.9490007980334186,0.9795550082296126,0.9202950305376528,0.9438732223658635
